No.,Object Name,RA-s,Dec-s,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
686,WISEA J121642.29+553757.2,12h16m42.2967s,+55d37m57.274s,184.1762366,55.6325763,G,18854.247476078,0.062891,SLS,11,0,57,10,7,8,0,0,0,1
687,WISEA J132146.68+502706.6,13h21m46.6853s,+50d27m06.605s,200.4445222,50.4518349,G,35191.13768233,0.117385,SLS,1,0,32,5,2,4,0,0,0,0
688,WISEA J120336.15+514138.9,12h03m36.1527s,+51d41m38.952s,180.9006366,51.6941535,G,25325.7893208849,0.08447774,SLS,14,0,67,7,3,10,0,0,1,1
689,WISEA J125119.89+512023.3,12h51m19.8935s,+51d20m23.307s,192.8328897,51.3398076,G,36605.558499174,0.122103,SLS,1,0,12,3,1,0,0,0,0,0
690,WISEA J121921.88+552951.6,12h19m21.8899s,+55d29m51.694s,184.8412081,55.4976928,G,32598.832298004,0.108738,SLS,12,0,66,11,8,10,0,0,1,1
691,WISEA J124803.02+552103.9,12h48m03.0273s,+55d21m03.910s,192.0126139,55.3510861,G,24629.44938699,0.082155,SLS,1,0,27,4,2,4,0,0,0,0
692,WISEA J130016.14+520912.5,13h00m16.1445s,+52d09m12.590s,195.0672688,52.1534974,G,33056.015796454,0.110263,SLS,1,0,31,6,3,4,0,0,0,0
693,WISEA J125004.93+551722.7,12h50m04.9316s,+55d17m22.715s,192.5205484,55.2896433,G,28767.784477222,0.095959,SLS,2,0,34,6,2,4,0,0,0,0
694,WISEA J115428.68+551334.3,11h54m28.6895s,+55d13m34.378s,178.6195397,55.2262161,G,15675.6080023956,0.0522882,SLS,1,0,27,5,3,4,0,0,0,0
695,WISEA J141242.94+500917.4,14h12m42.9414s,+50d09m17.458s,213.1789228,50.1548497,G,55359.67529428,0.18466,SLS,1,0,37,5,1,4,0,0,0,0
696,WISEA J124446.79+551141.7,12h44m46.7985s,+55d11m41.774s,191.1949938,55.1949374,G,33648.70548592,0.11224,SLS,1,0,27,4,2,4,0,0,0,0
697,WISEA J123136.51+551814.7,12h31m36.5146s,+55d18m14.721s,187.9021444,55.3040894,G,116186.06606019,0.387555,SLS,1,0,27,3,1,4,0,0,0,0
698,2MASS J12483212+5609042,12h48m32.0176s,+56d09m04.517s,192.1334069301,56.1512548116,G,0.0,0.0,SLS,1,0,10,3,1,4,0,0,0,0
